Id,Quiz,Option1,Option2,Option3,Option4,Option5
1,How do you prefer to start your workday?,Reviewing emails,Planning tasks,Jumping into tasks,Team check-ins,Quiet focus time
2,What helps you stay focused during work?,Background music,A quiet environment,Short breaks,Changing work location,Structured schedules
3,How do you like to learn new skills?,Hands-on practice,Online courses,Reading documentation,Group workshops,Mentorship
4,What motivates you most at work?,Achieving goals,Recognition,Learning opportunities,Collaboration,Work-life balance
5,What communication method do you prefer?,Email,Chat messages,Video calls,Phone calls,In-person meetings
6,How do you approach problem-solving?,Analyzing data,Brainstorming ideas,Asking colleagues,Testing solutions,Researching online
7,What work environment suits you best?,Fast-paced,Structured and predictable,Flexible and dynamic,Collaborative,Independent
8,What helps you manage stress?,Taking breaks,Talking with colleagues,Exercise or movement,Planning tasks,Listening to music
9,How do you prefer feedback to be given?,In real time,Scheduled sessions,Written comments,One-on-one discussions,Peer feedback
10,What makes teamwork effective for you?,Clear communication,Defined roles,Trust and respect,Regular check-ins,Shared goals
