No,Domain,Pillars,Question :,5 ? Role Model,4 ? Fully Meets Expectations,3 ? Partially Meets Expectations,2 ? Needs Improvement,1 ? Does Not Meet Expectations
1,We apply Science,Replace Opinion with Evidence,What approaches would you use to generate a recommendation to client?,"Working with teams to use data-driven analysis, backing them with evidence and simulate  measurable outcomes",I will test the hypothesis through client's feedback and adjust my viewpoint when new information is presented,I will look for support or expand the analysis using hypotesis and validating them with current data,Will use assumptions and data from previous  experience,I will apply the same recommendation based on my own common sense
2,We apply Science,Build a Culture of Curiosity,How do you encourage curiosity and open?minded thinking within your team?,I implement recognition and correction for those who are willing to experiment with their work differently,I challenge the team to test ideas and their assumptions and let them propose new approaches,I am open to feedback and rely on my own judgment to make decisions based on familiar experiences,I focus on maintaining current efforts and avoid making hasty changes.,"I focus my interest in learning, improvement, or understanding within my responsibilities."
3,We apply Science,Use Data to Drive Transparency and Alignment,In what ways do you leverage data to drive clear communication that is aligned with team goals?,"I make sure everyone is bold on the data being collected, processed, and the expected outcome, even when the result is inconclusive",I create baseline hypothesis on the data to support decision making and communicating with the team if there is any gap,I regularly check if the data is sufficient to be analyzed and perform follow-up actions to ensure that the data is ready for fact-based conversation,I set up real-time shared folder to store any data and share them openly with team or client,I focus mainly on immediate tasks and am learning how to connect information across the team or projects.
4,We apply Science,"Measure Outcomes, Not Just Activities",In what ways you ensure your performance reflects meaningful outcomes instead of only busy work?,I implement recognition and correction for those who consistently demonstrate impactful outcomes,I review success metrics with teams/clients regularly to fine-tune business outcomes and encourage feedback to improve further,I consult clear success metrics with my manager/team/client to get consensus and check how well the outcomes align with the goals,"I measure outcomes, but I still give updates that focus more on what I did rather than what results I achieved.",I tend to focus more on describing activities completed rather than articulating their broader impact.
5,We apply Science,Lead by Example with Evidence-Based Decisions,How do you ensure that decisions are grounded in facts and shared openly with others?,"I share my own decision-making process openly, encourage others to challenge, own when wrong, and reward those who bring new insights",Encourages colleagues to use data to set the basic assumptions and test the hypothesis before making decisions.,"I uses appropriate evidence to inform decisions and effectively distinguishes between facts, assumptions, and opinions.",Spend a few moments thinking about potential challenges and how to avoid them,Question anyone else's opinion by referring to my previous experience in similar situation
6,Another Domain,Replace Opinion with Evidence,What approaches would you use to generate a recommendation to client?,"Working with teams to use data-driven analysis, backing them with evidence and simulate  measurable outcomes",I will test the hypothesis through client's feedback and adjust my viewpoint when new information is presented,I will look for support or expand the analysis using hypotesis and validating them with current data,Will use assumptions and data from previous  experience,I will apply the same recommendation based on my own common sense
7,Another Domain,Build a Culture of Curiosity,How do you encourage curiosity and open?minded thinking within your team?,I implement recognition and correction for those who are willing to experiment with their work differently,I challenge the team to test ideas and their assumptions and let them propose new approaches,I am open to feedback and rely on my own judgment to make decisions based on familiar experiences,I focus on maintaining current efforts and avoid making hasty changes.,"I focus my interest in learning, improvement, or understanding within my responsibilities."
8,Another Domain,Use Data to Drive Transparency and Alignment,In what ways do you leverage data to drive clear communication that is aligned with team goals?,"I make sure everyone is bold on the data being collected, processed, and the expected outcome, even when the result is inconclusive",I create baseline hypothesis on the data to support decision making and communicating with the team if there is any gap,I regularly check if the data is sufficient to be analyzed and perform follow-up actions to ensure that the data is ready for fact-based conversation,I set up real-time shared folder to store any data and share them openly with team or client,I focus mainly on immediate tasks and am learning how to connect information across the team or projects.
9,Another Domain,"Measure Outcomes, Not Just Activities",In what ways you ensure your performance reflects meaningful outcomes instead of only busy work?,I implement recognition and correction for those who consistently demonstrate impactful outcomes,I review success metrics with teams/clients regularly to fine-tune business outcomes and encourage feedback to improve further,I consult clear success metrics with my manager/team/client to get consensus and check how well the outcomes align with the goals,"I measure outcomes, but I still give updates that focus more on what I did rather than what results I achieved.",I tend to focus more on describing activities completed rather than articulating their broader impact.
10,Another Domain,Lead by Example with Evidence-Based Decisions,How do you ensure that decisions are grounded in facts and shared openly with others?,"I share my own decision-making process openly, encourage others to challenge, own when wrong, and reward those who bring new insights",Encourages colleagues to use data to set the basic assumptions and test the hypothesis before making decisions.,"I uses appropriate evidence to inform decisions and effectively distinguishes between facts, assumptions, and opinions.",Spend a few moments thinking about potential challenges and how to avoid them,Question anyone else's opinion by referring to my previous experience in similar situation
